City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,35.6,90,40,21.92,AR,1594576786
1,Palembang,-2.92,104.75,74.37,94,73,3.47,ID,1594577236
2,Hermanus,-34.42,19.23,56.44,59,0,11.05,ZA,1594576662
3,Comodoro Rivadavia,-45.87,-67.5,46.4,36,20,16.11,AR,1594576692
4,Cherskiy,68.75,161.3,49.26,94,100,3.04,RU,1594576728
5,Port Elizabeth,-33.92,25.57,60.8,63,0,9.17,ZA,1594576787
6,Lagoa,39.05,-27.98,68.85,78,0,17.05,PT,1594576847
7,Lábrea,-7.26,-64.8,94.73,38,18,3.49,BR,1594577237
8,Upernavik,72.79,-56.15,42.3,84,98,9.4,GL,1594576837
9,Port Alfred,-33.59,26.89,58.84,49,0,19.13,ZA,1594576785
10,Bethel,41.37,-73.41,84.0,57,75,9.17,US,1594576835
11,Constitución,-35.33,-72.42,58.1,65,100,7.09,CL,1594576666
12,Albany,42.6,-73.97,86.0,47,43,1.01,US,1594576665
13,Chokurdakh,70.63,147.92,56.3,63,76,8.86,RU,1594576795
14,Tuatapere,-46.13,167.68,39.0,83,78,3.0,NZ,1594576726
15,Henties Bay,-22.12,14.28,55.0,92,0,5.01,NA,1594577237
16,Busselton,-33.65,115.33,55.99,81,44,13.24,AU,1594577237
17,São João da Barra,-21.64,-41.05,84.2,45,44,6.93,BR,1594577237
18,Manggar,-2.88,108.27,81.21,81,97,13.98,ID,1594577237
19,Nikolskoye,59.7,30.79,64.99,72,75,2.75,RU,1594577238
20,Tiksi,71.69,128.87,58.17,90,62,6.71,RU,1594577238
21,Hasaki,35.73,140.83,64.4,100,75,6.93,JP,1594577050
22,Egvekinot,66.32,-179.17,54.1,52,1,2.59,RU,1594577238
23,Birao,10.28,22.79,80.2,70,48,3.76,CF,1594577238
24,Ghanzi,-21.57,21.78,46.65,49,0,5.61,BW,1594577238
25,Punta Arenas,-53.15,-70.92,39.0,78,20,21.92,CL,1594577238
26,Yamada,39.47,141.95,58.57,89,18,5.37,JP,1594577238
27,Corrente,-3.74,-43.34,90.63,39,13,3.94,BR,1594577238
28,Saldanha,-33.01,17.94,57.2,67,0,16.11,ZA,1594577107
29,Nome,64.5,-165.41,62.01,67,1,5.82,US,1594577109
30,Nhulunbuy,-12.23,136.77,75.2,57,30,17.22,AU,1594577238
31,Hobart,-42.88,147.33,39.2,93,90,5.82,AU,1594577238
32,Saint-Philippe,-21.36,55.77,69.8,73,50,8.05,RE,1594577238
33,Abu Dhabi,24.47,54.37,98.6,67,79,10.29,AE,1594577034
34,Hilo,19.73,-155.09,71.6,83,40,4.7,US,1594577030
35,East London,-33.02,27.91,60.94,58,0,22.68,ZA,1594576812
36,Menongue,-14.66,17.69,62.1,29,0,5.7,AO,1594577239
37,Ishigaki,24.34,124.16,84.99,78,3,11.05,JP,1594577057
38,Rikitea,-23.12,-134.97,71.26,70,0,16.93,PF,1594577010
39,Pimenta Bueno,-11.67,-61.19,94.42,33,21,4.43,BR,1594577239
40,Aktas,49.78,72.96,60.8,93,15,2.24,KZ,1594577239
41,Mataura,-46.19,168.86,39.0,83,77,3.0,NZ,1594577011
42,Bluff,-46.6,168.33,39.0,83,56,3.0,NZ,1594576796
43,Lebu,-37.62,-73.65,50.49,91,100,1.95,CL,1594577026
44,Omboué,-1.57,9.26,73.36,87,87,9.73,GA,1594576849
45,Iqaluit,63.75,-68.51,59.0,58,75,13.87,CA,1594577070
46,Kiunga,-6.12,141.29,72.73,99,89,1.39,PG,1594577239
47,Lárdos,36.09,28.02,77.0,83,0,20.8,GR,1594577239
48,Pacific Grove,36.62,-121.92,77.0,72,1,8.05,US,1594577047
49,Tuktoyaktuk,69.45,-133.04,51.8,71,20,5.82,CA,1594577010
50,Kaitangata,-46.28,169.85,37.0,75,24,4.0,NZ,1594576792
51,Salalah,17.02,54.09,82.4,88,75,4.7,OM,1594577083
52,Puerto Ayora,-0.74,-90.35,69.01,89,58,1.99,EC,1594577026
53,Sisimiut,66.94,-53.67,52.92,53,83,16.13,GL,1594577163
54,Rock Sound,24.9,-76.2,84.43,75,100,15.59,BS,1594577190
55,Tegul'det,57.31,88.17,59.4,82,19,5.39,RU,1594576806
56,Ribeira Grande,38.52,-28.7,75.2,73,20,13.87,PT,1594576799
57,Khatanga,71.97,102.5,52.81,87,100,13.51,RU,1594576783
58,Bengkulu,-3.8,102.27,75.61,90,89,3.78,ID,1594576784
59,New Norfolk,-42.78,147.06,37.99,91,3,1.59,AU,1594576812
60,Najrān,17.49,44.13,96.8,11,40,4.7,SA,1594576743
61,Portland,45.52,-122.68,69.01,68,90,1.77,US,1594576837
62,Asău,46.43,26.4,54.0,93,100,4.68,RO,1594576809
63,São Filipe,14.9,-24.5,74.5,78,28,10.4,CV,1594576858
64,Norman Wells,65.28,-126.83,55.4,93,75,6.93,CA,1594576714
65,Ponta do Sol,32.67,-17.1,73.99,70,0,3.74,PT,1594576811
66,Tessalit,20.2,1.01,102.25,17,46,17.0,ML,1594577240
67,Sur,22.57,59.53,85.78,70,76,15.86,OM,1594577240
68,Vaini,-21.2,-175.2,69.8,88,40,12.75,TO,1594576605
69,Muzaffarabad,34.37,73.47,74.68,60,57,4.23,PK,1594577240
70,Port Hedland,-20.32,118.57,57.2,26,8,8.05,AU,1594576918
71,Yellāpur,14.97,74.72,72.1,96,100,3.2,IN,1594577240
72,Cabo San Lucas,22.89,-109.91,91.4,49,75,11.41,MX,1594576804
73,Cidreira,-30.18,-50.21,61.0,93,87,8.55,BR,1594577240
74,Batagay,67.63,134.63,65.59,85,96,4.03,RU,1594577240
75,Luena,-11.78,19.92,64.44,31,0,4.18,AO,1594577240
76,Bredasdorp,-34.53,20.04,51.8,66,0,5.88,ZA,1594576817
77,Longyearbyen,78.22,15.64,48.2,76,75,5.82,SJ,1594576832
78,Haverfordwest,51.8,-4.97,64.4,68,83,9.17,GB,1594577241
79,Chiredzi,-21.05,31.67,58.84,50,0,3.89,ZW,1594576734
