,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cherskiy,68.75,161.3,49.26,94,100,3.04,RU,1594576728
1,Lagoa,39.05,-27.98,68.85,78,0,17.05,PT,1594576847
2,Upernavik,72.79,-56.15,42.3,84,98,9.4,GL,1594576837
3,Bethel,41.37,-73.41,84.0,57,75,9.17,US,1594576835
4,Albany,42.6,-73.97,86.0,47,43,1.01,US,1594576665
5,Chokurdakh,70.63,147.92,56.3,63,76,8.86,RU,1594576795
6,Nikolskoye,59.7,30.79,64.0,72,75,2.75,RU,1594576831
7,Tiksi,71.69,128.87,58.17,90,62,6.71,RU,1594576796
8,Hasaki,35.73,140.83,64.4,100,75,6.93,JP,1594576728
9,Egvekinot,66.32,-179.17,54.1,52,1,2.59,RU,1594577272
10,Birao,10.28,22.79,80.2,70,48,3.76,CF,1594577272
11,Yamada,39.47,141.95,58.57,89,18,5.37,JP,1594577238
12,Nome,64.5,-165.41,61.0,67,1,5.82,US,1594577272
13,Abu Dhabi,24.47,54.37,98.6,67,79,10.29,AE,1594576801
14,Hilo,19.73,-155.09,73.0,83,40,4.7,US,1594576802
15,Ishigaki,24.34,124.16,84.99,78,3,11.05,JP,1594577273
16,Aktas,49.78,72.96,60.8,93,15,2.24,KZ,1594577273
17,Iqaluit,63.75,-68.51,59.0,58,75,13.87,CA,1594576712
18,Lárdos,36.09,28.02,77.0,83,0,20.8,GR,1594577273
19,Pacific Grove,36.62,-121.92,75.99,72,1,4.7,US,1594576753
20,Tuktoyaktuk,69.45,-133.04,51.8,71,20,5.82,CA,1594576793
21,Salalah,17.02,54.09,82.4,88,75,4.7,OM,1594577273
22,Sisimiut,66.94,-53.67,52.92,53,83,16.13,GL,1594577273
23,Rock Sound,24.9,-76.2,84.43,75,100,15.59,BS,1594577274
24,Tegul'det,57.31,88.17,59.4,82,19,5.39,RU,1594576806
25,Ribeira Grande,38.52,-28.7,75.2,73,20,13.87,PT,1594576799
26,Khatanga,71.97,102.5,52.81,87,100,13.51,RU,1594576783
27,Najrān,17.49,44.13,96.8,11,40,4.7,SA,1594576743
28,Portland,45.52,-122.68,69.01,68,90,1.77,US,1594576837
29,Asău,46.43,26.4,54.0,93,100,4.68,RO,1594576809
30,São Filipe,14.9,-24.5,74.5,78,28,10.4,CV,1594576858
31,Norman Wells,65.28,-126.83,55.4,93,75,6.93,CA,1594576714
32,Ponta do Sol,32.67,-17.1,73.99,70,0,3.74,PT,1594576811
33,Tessalit,20.2,1.01,102.25,17,46,17.0,ML,1594577240
34,Sur,22.57,59.53,85.78,70,76,15.86,OM,1594577240
35,Muzaffarabad,34.37,73.47,74.68,60,57,4.23,PK,1594577240
36,Yellāpur,14.97,74.72,72.1,96,100,3.2,IN,1594577240
37,Cabo San Lucas,22.89,-109.91,91.4,49,75,11.41,MX,1594576804
