,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.12,-134.97,69.46,70,13,15.95,PF,1594508784
1,Port Alfred,-33.59,26.89,52.0,72,37,5.01,ZA,1594508504
2,Mataura,-46.19,168.86,46.04,92,72,5.82,NZ,1594508785
3,Carnarvon,-24.87,113.63,55.4,30,0,11.41,AU,1594508785
4,Punta Arenas,-53.15,-70.92,33.8,74,40,9.17,CL,1594508527
5,Ushuaia,-54.8,-68.3,35.6,80,20,18.34,AR,1594508689
6,Vaini,-21.2,-175.2,73.4,88,40,13.87,TO,1594508874
7,Kirakira,-10.45,161.92,83.03,75,18,13.06,SB,1594508874
8,Airai,-8.93,125.41,60.62,100,62,4.03,TL,1594508874
9,Tuatapere,-46.13,167.68,48.13,83,66,8.81,NZ,1594508874
10,Busselton,-33.65,115.33,46.0,78,0,16.04,AU,1594508875
11,Arraial do Cabo,-22.97,-42.03,71.13,82,0,23.89,BR,1594508875
12,Avarua,-21.21,-159.78,75.2,83,96,8.05,CK,1594508660
13,Castro,-24.79,-50.01,59.32,81,0,6.8,BR,1594508875
14,Mar del Plata,-38.0,-57.56,53.01,61,65,12.75,AR,1594508875
15,Yulara,-25.24,130.99,33.8,80,0,10.29,AU,1594508875
16,Hithadhoo,-0.6,73.08,83.17,79,17,12.1,MV,1594508875
17,Cape Town,-33.93,18.42,52.0,87,51,9.17,ZA,1594508875
18,Mahébourg,-20.41,57.7,69.8,73,40,14.99,MU,1594508875
19,Alice Springs,-23.7,133.88,52.0,69,0,5.82,AU,1594508653
20,Lebu,-37.62,-73.65,50.07,81,93,9.24,CL,1594508876
21,Hermanus,-34.42,19.23,46.0,78,3,9.17,ZA,1594508876
22,Ewo,-0.87,14.82,74.68,81,92,4.23,CG,1594508876
23,Bluff,-46.6,168.33,48.94,75,99,19.39,NZ,1594508787
24,Curup,-3.47,102.53,67.03,92,30,2.51,ID,1594508787
25,Bengkulu,-3.8,102.27,74.97,87,46,3.89,ID,1594508560
26,Kaeo,-35.1,173.78,57.99,3,17,7.0,NZ,1594508787
27,Geraldton,-28.77,114.6,51.8,40,0,24.16,AU,1594508787
28,Lodja,-3.48,23.43,72.68,84,59,1.19,CD,1594508788
29,Araguaína,-7.19,-48.21,80.55,48,84,0.6,BR,1594508519
30,Ondjiva,-17.07,15.73,55.98,34,0,7.74,AO,1594508788
31,Bambous Virieux,-20.34,57.76,71.01,73,40,14.99,MU,1594508788
32,Kieta,-6.22,155.63,84.65,67,92,4.88,PG,1594508788
33,Christchurch,-43.53,172.63,53.01,76,100,1.12,NZ,1594508682
34,Alenquer,-1.94,-54.74,82.4,78,23,5.82,BR,1594508585
35,Puerto Maldonado,-12.6,-69.18,77.54,68,64,1.66,PE,1594508789
36,Waipawa,-41.41,175.52,55.4,62,16,20.8,NZ,1594508540
37,Saint-Pierre,-21.34,55.48,66.2,77,27,4.7,RE,1594508593
38,Kupang,-10.17,123.58,75.2,83,20,4.7,ID,1594508790
39,Poso,-1.4,120.75,77.47,75,94,5.55,ID,1594508790
40,Atuona,-9.8,-139.03,79.3,78,33,17.78,PF,1594508790
41,Bredasdorp,-34.53,20.04,46.4,81,0,4.7,ZA,1594508790
42,Rio Grande,-32.03,-52.1,50.0,88,2,6.58,BR,1594508790
43,Alofi,-19.06,-169.92,77.0,88,80,17.22,NU,1594508791
44,Kindu,-2.95,25.95,71.24,89,98,1.72,CD,1594508791
45,Ahipara,-35.17,173.17,57.38,69,33,7.02,NZ,1594508791
46,Olinda,-8.01,-34.86,73.4,94,75,4.7,BR,1594508791
47,Chui,-33.7,-53.46,44.42,70,38,5.55,UY,1594508791
48,Kavieng,-2.57,150.8,83.82,73,100,10.42,PG,1594508557
49,Chicama,-7.84,-79.15,65.52,71,26,7.0,PE,1594508791
50,Tautira,-17.73,-149.15,84.2,51,20,18.34,PF,1594508791
51,Kruisfontein,-34.0,24.73,45.59,67,43,7.07,ZA,1594508791
52,Souillac,-20.52,57.52,69.8,73,40,14.99,MU,1594508792
53,De Aar,-30.65,24.01,34.18,85,0,3.98,ZA,1594508792
54,New Norfolk,-42.78,147.06,46.0,93,60,1.25,AU,1594508792
55,Puerto Ayora,-0.74,-90.35,68.0,89,75,1.99,EC,1594508792
56,Daru,-9.08,143.21,77.49,90,100,13.02,PG,1594508792
57,Beira,-19.84,34.84,68.0,82,1,8.05,MZ,1594508792
58,Vallenar,-28.57,-70.76,64.89,47,23,0.51,CL,1594508792
59,Auki,-8.77,160.7,82.8,75,69,5.99,SB,1594508792
60,Saint-Philippe,-21.36,55.77,69.8,77,45,4.7,RE,1594508793
61,Sambava,-14.27,50.17,71.83,85,88,12.35,MG,1594508793
